M,K,N,solution_index,status,bad_reps,total_reps
513,513,513,537657417,clean,0,30
513,513,513,537657418,clean,0,30
513,513,513,537657419,clean,0,30
513,513,513,537657421,clean,0,30
513,513,513,537657387,clean,0,30
513,513,513,537657388,clean,0,30
513,513,513,56,clean,0,30
513,513,513,537657422,clean,0,30
513,513,513,537657423,clean,0,30
513,513,513,537657424,clean,0,30
513,513,513,537657426,clean,0,30
513,513,513,537657427,clean,0,30
513,513,513,537657428,clean,0,30
513,513,513,537657429,clean,0,30
513,513,513,537657430,clean,0,30
513,513,513,537657431,clean,0,30
513,513,513,537657433,clean,0,30
513,513,513,537657435,clean,0,30
513,513,513,537657438,clean,0,30
513,513,513,537657439,clean,0,30
513,513,513,537657441,clean,0,30
513,513,513,537657443,clean,0,30
513,513,513,537657444,clean,0,30
513,513,513,537657446,clean,0,30
513,513,513,537657448,clean,0,30
513,513,513,537657449,clean,0,30
513,513,513,537657450,clean,0,30
513,513,513,537657451,clean,0,30
513,513,513,537657452,clean,0,30
513,513,513,55,clean,0,30
513,513,513,537657389,clean,0,30
513,513,513,537657390,clean,0,30
513,513,513,537657391,clean,0,30
513,513,513,537657392,clean,0,30
768,768,3072,537657393,clean,0,30
768,768,3072,537657394,clean,0,30
768,768,3072,537657395,clean,0,30
768,768,3072,537657396,clean,0,30
768,768,3072,537657397,clean,0,30
768,768,3072,537657398,clean,0,30
768,768,3072,537657399,clean,0,30
768,768,3072,537657400,clean,0,30
768,768,3072,537657401,clean,0,30
768,768,3072,537657402,clean,0,30
768,768,3072,537657403,clean,0,30
768,768,3072,537657404,clean,0,30
768,768,3072,537657405,clean,0,30
768,768,3072,537657407,clean,0,30
768,768,3072,537657408,clean,0,30
768,768,3072,537657409,clean,0,30
768,768,3072,537657410,clean,0,30
768,768,3072,537657411,clean,0,30
768,768,3072,537657413,clean,0,30
768,768,3072,537657415,clean,0,30
768,768,3072,537657416,clean,0,30
768,768,3072,537657417,clean,0,30
768,768,3072,537657418,clean,0,30
768,768,3072,537657419,clean,0,30
768,768,3072,537657421,clean,0,30
768,768,3072,537657387,clean,0,30
768,768,3072,537657388,clean,0,30
768,768,3072,56,clean,0,30
768,768,3072,537657422,clean,0,30
768,768,3072,537657423,clean,0,30
768,768,3072,537657424,clean,0,30
768,768,3072,537657426,clean,0,30
768,768,3072,537657427,clean,0,30
768,768,3072,537657428,clean,0,30
768,768,3072,537657429,clean,0,30
768,768,3072,537657430,clean,0,30
768,768,3072,537657431,clean,0,30
768,768,3072,537657433,clean,0,30
768,768,3072,537657435,clean,0,30
768,768,3072,537657438,clean,0,30
768,768,3072,537657439,clean,0,30
768,768,3072,537657441,clean,0,30
768,768,3072,537657443,clean,0,30
768,768,3072,537657444,clean,0,30
768,768,3072,537657446,clean,0,30
768,768,3072,537657448,clean,0,30
768,768,3072,537657449,clean,0,30
768,768,3072,537657450,clean,0,30
768,768,3072,537657451,clean,0,30
768,768,3072,537657452,clean,0,30
768,768,3072,55,clean,0,30
